Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e00de307-5089-e563-dc50-d0e8d54a98c3,1990-03-15,,999-13-6213,S99940592,X44051100X,Mr.,Shane235,Samual455,Nitzsche158,,,S,white,nonhispanic,M,Bridgewater  Massachusetts  US,366 Murray Lock Apt 36,Springfield,Massachusetts,Hampden County,25013,01105,42.0169957846788,-72.52015078298611,445966.46,301564.67,48062
46170e76-216f-0adf-f9f4-32c137b95963,2024-02-25,,999-80-2430,,,,Karl184,Shawn523,Wisoky380,,,,white,nonhispanic,M,Boston  Massachusetts  US,282 Lebsack Road,Boston,Massachusetts,Suffolk County,25025,02131,42.30539632109532,-71.1920314597395,11219.94,2987.40,104175
1982dbc4-3737-a158-9abb-d4eb23c6a24e,1963-07-05,,999-69-1589,S99960689,X28612499X,Mr.,Michal596,,Ruecker817,,,M,white,nonhispanic,M,Winthrop  Massachusetts  US,483 Cartwright Flat,Boston,Massachusetts,Suffolk County,25025,02130,42.288788131311996,-71.11042590038346,219252.90,38878.05,162318
1b38f180-9115-6866-146e-2b9217ac1677,1986-01-24,,999-16-9001,S99935123,X24368046X,Mr.,Jorge203,Loren192,Kemmer137,,,S,white,nonhispanic,M,Lowell  Massachusetts  US,480 MacGyver Course Suite 2,Braintree,Massachusetts,Norfolk County,25021,02184,42.20246267209199,-70.95702906551737,5929.21,167196.86,17302
fc283f7c-07a7-2363-5ac4-999289e5dc8e,2025-03-23,,999-50-2097,,,,Elenore794,Annamae625,Tillman293,,,,white,nonhispanic,F,Westminster  Massachusetts  US,471 Halvorson Fork,Dedham,Massachusetts,Norfolk County,25021,02090,42.21222030621619,-71.14377453230247,17924.18,19107.58,123973
7f8299e1-7753-2958-9faa-0cfc9c14cb8c,2017-05-12,,999-37-6324,,,,Lauren941,,Robel940,,,,white,nonhispanic,M,Toulouse  Occitanie  FR,298 Wisoky Gate Unit 6,Cambridge,Massachusetts,Middlesex County,25017,02140,42.39860638966921,-71.17895080465448,12036.34,9232.66,184290
131abf1b-f3b7-9ba5-66ed-475b0bd7d258,1989-09-12,,999-43-6692,S99994516,X65546194X,Mr.,Lazaro919,Vaughn909,Jakubowski832,,,D,white,nonhispanic,M,Boston  Massachusetts  US,961 Casper Vista Suite 38,Orange,Massachusetts,Franklin County,25011,01364,42.58911076875716,-72.26031488234257,96175.97,15020.89,84109
604dd6a2-4ba8-49a5-51a5-147567851e9a,2005-04-07,,999-63-9168,S99928307,X19781326X,Mr.,Duane703,,Kassulke119,,,,white,nonhispanic,M,Boston  Massachusetts  US,717 Skiles Key Suite 89,Leominster,Massachusetts,Worcester County,25027,01453,42.56584504096604,-71.7200775574398,47896.56,6279.97,41630
4d6b5d8f-9b5f-b587-a3f7-e2938b162093,2005-03-26,,999-30-3039,S99938760,X27902668X,Mr.,Micah422,,Zemlak964,,,,white,nonhispanic,M,Marlborough  Massachusetts  US,645 Zieme Overpass Apt 16,Tewksbury,Massachusetts,Middlesex County,,00000,42.63764276070679,-71.23721577081116,30769.02,26656.86,526069
3f3c9bf1-bc78-12e7-9f25-ceb9e2db1d45,2014-08-07,,999-27-4351,,,,Sook872,Lanelle105,Sawayn19,,,,white,nonhispanic,F,Douglas  Massachusetts  US,591 Von Walk,Quincy,Massachusetts,Norfolk County,25021,02169,42.248219000518084,-71.1039719896882,28828.52,571.11,78892
08d2517d-9880-6a16-eb34-e10bea7ad9b5,1996-01-24,,999-51-9248,S99953728,X66233825X,Mrs.,Laquita685,Shawn523,Leffler128,,Jenkins714,M,black,nonhispanic,F,Upton  Massachusetts  US,455 Stamm Parade,Fitchburg,Massachusetts,Worcester County,25027,01420,42.61069325996962,-71.84587772248614,121549.61,395080.12,31645
b3de85df-4b01-3fcc-24cc-05f638365074,2004-07-24,,999-97-2068,S99956310,X17732892X,Ms.,Coralie787,,Will178,,,,white,nonhispanic,F,Ludlow  Massachusetts  US,744 Mayert Street Unit 50,Lancaster,Massachusetts,Worcester County,,00000,42.46571400616107,-71.64528073115315,125037.96,807472.88,169018
97d6d043-8d43-cc06-d485-e2d1c2109048,2018-08-05,,999-51-7205,,,,Muoi890,Josefina523,Metz686,,,,white,nonhispanic,F,Montague  Massachusetts  US,717 Douglas Bridge,Somerville,Massachusetts,Middlesex County,25017,02138,42.41314985993066,-71.13560296494695,10395.72,8101.91,105525
1da48a82-d5e9-3bfe-4529-adec23f20a31,2024-06-15,,999-55-4459,,,,Theda286,Shonta375,McCullough561,,,,white,nonhispanic,F,Boston  Massachusetts  US,216 Wolf Lock,Worcester,Massachusetts,Worcester County,25027,01583,42.221516641440125,-71.81089844492399,8118.05,0.00,103620
0f164897-ad85-29db-93b8-428b741ad9b7,2021-12-09,,999-63-8809,,,,Yen770,Troy560,Greenholt190,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,309 Crist Estate,Brookline,Massachusetts,Norfolk County,25025,02215,42.321397645934724,-71.1298882722489,10836.87,0.00,62662
9c7a2245-91ca-9100-fcb8-ce6dc963e920,2003-01-16,,999-68-5379,S99980096,X58165714X,Ms.,Vergie176,Valorie864,Murray856,,,,white,nonhispanic,F,Quincy  Massachusetts  US,568 Lang Divide Apt 22,Williamsburg,Massachusetts,Hampshire County,,00000,42.45181717829859,-72.76364253993047,53494.91,16844.73,55196
5bf2d300-4dea-c43a-3e8b-5411ad3434fe,2008-09-17,,999-32-4224,S99923483,,,Tommy814,Merrill415,Rohan584,,,,white,nonhispanic,M,Boston  Massachusetts  US,167 D'Amore Quay Suite 45,Marshfield,Massachusetts,Plymouth County,25023,02050,42.11531766829893,-70.74284666830263,45069.24,89499.73,59619
148a7eaf-2baa-f841-8018-a42fa791ae72,1967-01-06,,999-13-1479,S99988958,X87809509X,Mrs.,Harmony242,,Baumbach677,,Bechtelar572,D,white,nonhispanic,F,Boylston  Massachusetts  US,807 MacGyver Passage,South Duxbury,Massachusetts,Plymouth County,,00000,41.9737752306568,-70.70289226434822,131999.48,326577.60,186990
c485433a-15d8-24bc-653d-795ba7a4a2fd,1957-02-09,,999-46-6818,S99949992,X47834650X,Mrs.,Chandra831,Digna973,Bernhard322,,Lemke654,M,white,nonhispanic,F,Cambridge  Massachusetts  US,999 Harber Tunnel Suite 4,Cambridge,Massachusetts,Middlesex County,25017,02472,42.35391166132304,-71.06703837190197,1540517.76,1000955.11,109903
09ae7f21-d55e-8b05-cd0c-f28ede8d6eae,1997-08-06,,999-95-5210,S99990034,X71771211X,Ms.,Hermina428,Contessa946,Torphy630,,,S,white,nonhispanic,F,Worcester  Massachusetts  US,778 Balistreri Bridge,Weston,Massachusetts,Middlesex County,,00000,42.370095407600935,-71.27322749487342,85658.98,34893.70,127571
f6341823-c0b9-4c5a-ab5d-e191e53e369d,1976-09-23,,999-94-8594,S99920497,X87842967X,Mr.,Gene733,Jared66,Stroman228,,,M,white,nonhispanic,M,Boston  Massachusetts  US,569 Macejkovic Spur,Lancaster,Massachusetts,Worcester County,,00000,42.49044874811977,-71.69510365152995,7376.11,98410.56,16372
70131a82-c7fa-05dc-d0d8-fbde34ba76fc,1980-04-05,,999-15-9100,S99916798,X79277408X,Mrs.,Yu876,Alysia661,Terry864,,Kertzmann286,D,white,nonhispanic,F,Lexington  Massachusetts  US,871 Hyatt Alley,Orange,Massachusetts,Franklin County,25011,01364,42.56595259463809,-72.24255938196801,247298.21,642460.33,75634
e4f1d916-bb77-7da1-4ef5-babc44831fe1,2013-12-23,,999-84-8951,,,,Dong972,Trinidad33,Muller251,,,,white,nonhispanic,M,Pepperell  Massachusetts  US,372 Leannon Landing,Natick,Massachusetts,Middlesex County,,00000,42.321374882964584,-71.339910764494,2791.72,53629.19,26102
fb308ee8-3cd8-52b7-50cd-2701fa11e89a,2021-07-15,,999-49-5077,,,,Donald774,Chauncey770,Rice937,,,,asian,nonhispanic,M,Medford  Massachusetts  US,304 Cormier Dale,Wilmington,Massachusetts,Middlesex County,25017,01887,42.5769856058141,-71.18149382124908,13193.39,23613.46,43045
a25e5643-30c1-fae9-5f8d-28da3672e490,1976-03-14,,999-33-1869,S99993540,X77457279X,Mrs.,Shannon293,Shandi937,Barrows492,,Konopelski743,D,white,nonhispanic,F,Frankfurt  Hesse  DE,185 Blick Trail Unit 25,Waltham,Massachusetts,Middlesex County,25017,02452,42.394951553182736,-71.19712027874314,591171.28,217047.55,88336
